item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales
FDP33,0.8422149449240844,0.0,0.0,0.06666666666666667,0.95661600418339,0.6666666666666666,1.0,0.0,1.0,1.0,0.232479853106192
FDO23,0.791604644239357,0.0,0.0,0.6666666666666666,0.2625382854892054,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.16403141895338166
DRH01,0.7707651086632926,0.0,0.2981325447496805,0.5333333333333333,0.609443018288749,0.2222222222222222,0.5,0.5,0.0,0.0,0.15719677649699074
NCX29,0.32420363203334324,0.0,0.2719049886844018,0.4666666666666667,0.4899023083348613,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.2878710598796287
FDV20,0.4790116105983923,0.25,0.18122244952988167,0.0,0.4107744364987199,0.0,0.0,0.0,1.0,0.6666666666666666,0.2117719065592166
DRZ11,0.2557308722834177,0.25,0.3444793277310433,0.5333333333333333,0.38730653518869396,0.6666666666666666,1.0,0.0,1.0,1.0,0.12077935325920637
FDX10,0.4790116105983923,0.25,0.3748929553320087,0.06666666666666667,0.024182676962152552,0.0,0.0,0.0,1.0,0.6666666666666666,0.02718555544221157
FDB34,0.4790116105983923,0.0,0.08063850164347404,0.06666666666666667,0.23909245563637105,0.0,0.0,0.0,1.0,0.6666666666666666,0.16449046210343773
FDU02,0.5236677582613872,0.0,0.3121630015209798,0.26666666666666666,0.8461228938736426,0.2222222222222222,0.5,0.5,0.0,0.0,0.2606344996429664
FDK43,0.31229532598987797,0.0,0.08166616699800142,0.6,0.40200612567827293,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.1621952463531572
FDA46,0.5385531408157189,0.0,0.3587746517300471,0.06666666666666667,0.6860131477972686,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.19106396001224116
FDC02,1.0,0.0,0.21042854993676618,0.3333333333333333,0.9704556567446978,0.6666666666666666,1.0,0.0,1.0,1.0,0.5159645006630623
FDL50,0.4522179220005954,0.25,0.12874248592260223,0.3333333333333333,0.40413941690605704,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.026063449964296645
FDM39,0.11104495385531409,0.5,0.272537737550549,0.26666666666666666,0.6231375085739123,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.02489033969193104
NCP05,0.8958023221196785,0.0,0.0,0.4666666666666667,0.5178829737383616,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.18351525043354078
FDV49,0.32420363203334324,0.0,0.07880721791393593,0.3333333333333333,0.9929294935789038,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.44292563500969095
FDL12,0.6725215838047037,0.25,0.3703899932101661,0.4,0.1244999966043912,0.2222222222222222,0.5,0.5,0.0,0.0,0.1948383148015914
FDS02,0.4790116105983923,0.25,0.7777160045227557,0.26666666666666666,0.7028460295146317,1.0,0.0,0.5,0.0,0.3333333333333333,0.05722737937366113
NCL17,0.16880023816612086,0.0,0.20639945288625922,0.4666666666666667,0.47789458672045315,0.2222222222222222,0.5,0.5,0.0,0.0,0.23758033255125985
FDM40,0.33581423042572195,0.0,0.48662685123708094,0.2,0.4678529226004931,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.06263388758543303
FDR13,0.31795177136052394,0.25,0.08738648910627098,0.3333333333333333,0.36400586761200415,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.05957359991839233
FDA43,0.3774933015778505,0.0,0.1980614307310322,0.0,0.7007237740154433,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.23656023666224626
NCP18,0.4522179220005954,0.0,0.08757858027195073,0.13333333333333333,0.5101087273937345,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.366316433744772
FDK21,0.19946412622804408,0.0,0.030613222018531398,0.06666666666666667,0.9242456655053685,0.6666666666666666,1.0,0.0,1.0,1.0,0.47689482811384276
NCX54,0.27627270020839534,0.0,0.14664636249352403,0.13333333333333333,0.3177958763726748,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.1596450066306233
DRK35,0.2268532301280143,0.0,0.21912357036101981,0.7333333333333333,0.02869544105562688,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.05850249923492809
FDY21,0.6278654361417088,0.0,0.5282767538403645,0.06666666666666667,0.6927933296660759,0.2222222222222222,0.5,0.5,0.0,0.0,0.373610119351219
FDI26,0.4790116105983923,0.0,0.18600444796669607,0.3333333333333333,0.6313472417469729,1.0,0.0,0.5,0.0,0.3333333333333333,0.0657961848413751
FDM20,0.32420363203334324,0.0,0.0,0.0,0.9152201373184199,0.6666666666666666,1.0,0.0,1.0,1.0,0.24145669692951138
FDV27,0.20333432569217028,0.25,0.1220226417446805,0.6,0.23795322888440668,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.07885341222074876
FDF09,0.4790116105983923,0.0,0.036816100058884686,0.0,0.029689505531446725,0.0,0.0,0.0,1.0,0.6666666666666666,0.034581250637559936
FDY40,0.4790116105983923,0.25,0.4576435218914743,0.2,0.08395303193909637,1.0,0.0,0.5,0.0,0.3333333333333333,0.00877282464551668
FDY45,0.4790116105983923,0.0,0.07922118182136981,0.06666666666666667,0.9530862688371399,0.0,0.0,0.0,1.0,0.6666666666666666,0.19228807507905746
FDC46,0.7826734147067579,0.5,0.5940121893981073,0.06666666666666667,0.6542344939524208,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.01157808834030399
FDH19,0.8809169395653469,0.0,0.10074033770260926,0.6,0.5996806429924821,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.3701927981230236
FDZ03,0.5415302173265852,0.25,0.2404038706937805,0.26666666666666666,0.6567701648228511,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.08313781495460573
DRH37,0.7767192616850254,0.0,0.12698509582547932,0.5333333333333333,0.5669079246718144,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.1738243394879119
NCI17,0.2435248585888657,0.0,0.4367435944062624,0.4666666666666667,0.2739874294562273,0.2222222222222222,0.5,0.5,0.0,0.0,0.15275935937978172
FDJ58,0.657636201250372,0.25,0.3206424313498434,0.06666666666666667,0.5895048523249734,0.2222222222222222,0.5,0.5,0.0,0.0,0.2606344996429664
FDL12,0.6725215838047037,0.25,0.370081763033249,0.4,0.11855768120666356,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.04335407528307662
FDH35,0.8154212563262875,0.0,0.0,0.8666666666666667,0.5664834735719768,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.3501989186983577
FDG02,0.19648704971717776,0.0,0.034485914027082135,0.3333333333333333,0.6720283329598163,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.17249821483219424
NCZ18,0.19470080381065794,1.0,0.5674856421438267,0.13333333333333333,0.9468646646157189,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.42497194736305216
FDC29,0.22834176838344747,0.25,0.07370989105339164,0.2,0.3511382080693247,0.2222222222222222,0.5,0.5,0.0,0.0,0.1729062531877997
FDQ10,0.49389699315272395,0.0,0.10119285017563882,0.06666666666666667,0.598697614245258,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.08992145261654597
FDN48,0.4790116105983923,0.0,0.3462956110471108,0.4,0.24911204829913958,1.0,0.0,0.5,0.0,0.3333333333333333,0.04672039171682139
FDL04,0.8600774039892825,0.0,0.3427515517266937,0.2,0.3127024631746226,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.11909619504233399
FDV25,0.08038106579339091,0.0,0.0,0.3333333333333333,0.811786497701173,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.40385596246047134
FDD58,0.19083060434653168,0.0,0.18073653175117357,0.06666666666666667,0.29957758626544156,0.2222222222222222,0.5,0.5,0.0,0.0,0.12751198612669593
FDN04,0.43137838642453114,0.75,0.04289721469423694,0.2,0.6326205950464858,0.2222222222222222,0.5,0.5,0.0,0.0,0.10680403957972051
FDV45,0.7261089610002976,1.0,0.13773505108916706,0.06666666666666667,0.664968862267316,0.6666666666666666,1.0,0.0,1.0,1.0,0.3570335611547486
NCL18,0.4790116105983923,0.0,0.8935013610667489,0.13333333333333333,0.6932288164945093,1.0,0.0,0.5,0.0,0.3333333333333333,0.04212996021626034
FDR12,0.4790116105983923,0.25,0.09556306040445425,0.4,0.5945982655230256,0.0,0.0,0.0,1.0,0.6666666666666666,0.2343160257064164
FDG20,0.6516820482286394,0.25,0.38490360580828187,0.0,0.6184795822042934,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.1873916148117923
FDZ55,0.08931229532598987,0.0,0.07735870356572677,0.0,0.5505215655114807,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.20554932163623385
FDQ49,0.4790116105983923,0.25,0.11893652135624638,0.9333333333333333,0.5291759197006431,0.0,0.0,0.0,1.0,0.6666666666666666,0.24915842089156381
FDN33,0.10419767788032151,0.25,0.3749060829776587,0.06666666666666667,0.2731495629851476,0.2222222222222222,0.5,0.5,0.0,0.0,0.04814852596144038
FDN27,0.9702292348913367,0.0,0.1206610786360652,0.6,0.36498889635922827,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.11414872998061819
FDW20,0.964275081869604,0.0,0.1230886333687858,0.0,0.38575389306548763,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.025757421197592573
DRG27,0.25841024114319733,0.0,0.32057555679031685,0.26666666666666666,0.03660381394780272,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.05034173212281955
DRI25,0.8958023221196785,0.0,0.10344437082352222,0.5333333333333333,0.10132241984665431,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.1032847087626237
FDA44,0.901756475141411,0.0,0.1620405566112011,0.0,0.11291672608982065,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.04513924308885036
NCR17,0.31229532598987797,0.0,0.07423683919570158,0.4666666666666667,0.3533945901160619,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.09507293685606448
FDU04,0.4790116105983923,0.0,0.029582407977944626,0.2,0.3767062934213475,1.0,0.0,0.5,0.0,0.3333333333333333,0.034785269815362646
FDF41,0.4522179220005954,0.0,0.4000833847588271,0.2,0.9115342039674293,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.09180863001122107
FDB56,0.24977671926168502,0.25,0.22720812024331438,0.0,0.6628466067681276,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.2851168009792921
NCP18,0.4790116105983923,0.0,0.08666426761556167,0.13333333333333333,0.5037419608961691,0.0,0.0,0.0,1.0,0.6666666666666666,0.3317351831072121
FDB56,0.24977671926168502,0.25,0.22725109036805724,0.0,0.6645444111674783,0.2222222222222222,0.5,0.5,0.0,0.0,0.09813322452310518
FDT28,0.520690681750521,0.0,0.1939611441421339,0.2,0.5084109229943836,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.1357747628277058
FDD10,0.4790116105983923,0.25,0.13946130147290176,0.06666666666666667,0.6249804752494075,0.0,0.0,0.0,1.0,0.6666666666666666,0.21615831888197495
FDW57,0.22357844596606136,0.25,0.3528027301166657,0.06666666666666667,0.627393055300885,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.29592981740283586
DRB48,0.7261089610002976,0.25,0.07561964223203863,0.5333333333333333,0.03180072530203942,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.04860756911149649
FDP09,0.9047335516522774,0.0,0.1036201186641722,0.06666666666666667,0.7674084374087431,0.6666666666666666,1.0,0.0,1.0,1.0,0.24150770172396208
FDH14,0.7469484965763621,0.25,0.14242049083521022,0.3333333333333333,0.46644544275343125,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.16964194634295626
FDA47,0.3539743971420065,0.25,0.3549936522610848,0.4,0.5595581294270251,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.1349076813220443
FDG12,0.12384638285203929,0.25,0.0,0.4,0.38209003117168877,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.19131898398449457
DRE60,0.4790116105983923,1.0,0.8495181633325654,0.5333333333333333,0.8237831835869854,1.0,0.0,0.5,0.0,0.3333333333333333,0.04947465061715803
DRK49,0.5713009824352485,0.0,0.10936295661840227,0.5333333333333333,0.04297058044536806,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.0596756095072937
FDD03,0.520690681750521,0.0,0.24302212495820683,0.26666666666666666,0.8541653933133672,0.2222222222222222,0.5,0.5,0.0,0.0,0.051004794450678376
FDS52,0.2581125334921108,1.0,0.016765020575414884,0.2,0.30183396831217874,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.20677343670305012
FDW39,0.4790116105983923,0.25,0.1967939201539745,0.6,0.6182002933806003,1.0,0.0,0.5,0.0,0.3333333333333333,0.01096603080689585
FDX34,0.4790116105983923,0.0,0.21814528517393847,0.06666666666666667,0.38378783557103957,0.0,0.0,0.0,1.0,0.6666666666666666,0.3113332653269408
FDV11,0.2706162548377493,0.25,0.0,0.6666666666666666,0.602361476139057,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.23890645720697748
FDD17,0.1753498064900268,0.0,0.09950846148170928,0.2,0.8820119321693186,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.45266755074977055
FDZ16,0.7320631140220304,0.25,0.4895386275994429,0.2,0.6840360545742247,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.3685096399061512
FDZ46,0.1744566835367669,0.0,0.21045235997187106,0.06666666666666667,0.3299377245346318,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.19218606549015607
DRA12,0.41947008038106576,0.0,0.12539171755733047,0.5333333333333333,0.46275950940244087,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.19300214220136697
FDY58,0.42244715689193213,0.0,0.12205328205331652,0.06666666666666667,0.8309878165556303,0.6666666666666666,1.0,0.0,1.0,1.0,0.08492298276037949
NCF19,0.502828222685323,0.0,0.10751612434822655,0.13333333333333333,0.06881795462108402,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.04957666020605937
DRJ13,0.4819886871092587,0.5,0.19189885526320902,0.5333333333333333,0.54231183233842,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.1572477812914414
FDB14,0.9345043167609407,0.25,0.5235795384956835,0.3333333333333333,0.2598574523426305,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.011731102723656026
FDJ38,0.240845489729086,0.25,0.12240876992748288,0.3333333333333333,0.6742957507351494,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.2300316229725594
FDW11,0.4790116105983923,0.0,0.14938905685061696,0.6666666666666666,0.1334024339723869,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.06385800265224932
FDL40,0.7826734147067579,0.0,0.03535712561723839,0.2,0.2705918206575257,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.06401101703560134
DRI49,0.5713009824352485,0.0,0.5588074096366382,0.5333333333333333,0.21705410563059852,0.2222222222222222,0.5,0.5,0.0,0.0,0.08456594919922474
FDV38,0.8749627865436141,0.0,0.31166973274793186,0.26666666666666666,0.09128075572669425,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.06855044374171172
DRG23,0.2575171181899375,0.0,0.2640419522160519,0.7333333333333333,0.5113710449646518,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.055850249923492815
NCP30,0.9493896993152723,0.0,0.09998797835316703,0.13333333333333333,0.03816749179960477,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.05161685198408651
FDY25,0.4790116105983923,0.0,0.10295628794250442,0.3333333333333333,0.6337377503412587,0.0,0.0,0.0,1.0,0.6666666666666666,0.6078751402631848
NCH54,0.5325989877939863,0.0,0.2212884381941003,0.13333333333333333,0.5475504078126168,0.2222222222222222,0.5,0.5,0.0,0.0,0.10762011629093135
NCR53,0.4790116105983923,0.0,0.43953249588353455,0.4666666666666667,0.8198289971408975,0.0,0.0,0.0,1.0,0.6666666666666666,0.531877996531674
FDS52,0.2581125334921108,0.0,0.027903375704497187,0.2,0.2988628106133148,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.005202489033969193
FDG02,0.19648704971717776,0.0,0.03443163725694412,0.3333333333333333,0.6673593708616018,0.6666666666666666,1.0,0.0,1.0,1.0,0.07038661634193615
NCO26,0.15957130098243527,0.0,0.234036986914755,0.13333333333333333,0.35976135661362724,0.2222222222222222,0.5,0.5,0.0,0.0,0.1483219422625727
FDH35,0.4790116105983923,0.0,0.18257773658243465,0.8666666666666667,0.5694546312708405,0.0,0.0,0.0,1.0,0.6666666666666666,0.4005916556156279
FDB51,0.14081571896397738,0.0,0.1173359443513041,0.26666666666666666,0.12434379859965093,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.09813322452310518
FDX44,0.2825245608812147,0.0,0.13157969567419378,0.0,0.2526638551025813,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.038457615015811485
NCN07,0.8303066388806192,0.0,0.17301471111195182,0.8,0.4280096978587291,0.8888888888888888,0.5416666666666666,0.0,1.0,0.3333333333333333,0.017647658879934715
NCC31,0.2063114022030366,0.0,0.060497115164087886,0.13333333333333333,0.5233787665790599,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.10486585739059473
NCX54,0.27627270020839534,0.0,0.14717737286717172,0.13333333333333333,0.31355136537429795,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.12720595735999185
NCO55,0.4909199166418577,0.0,0.2777843163935201,0.8,0.31538329632119744,0.5555555555555556,0.7083333333333334,0.0,0.5,0.0,0.16168519840865045
NCC30,0.7171777314676987,0.0,0.08411339036056499,0.13333333333333333,0.6211604153508683,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.2024890339691931
FDI16,0.5623697529026496,0.25,0.0,0.2,0.09241998247865857,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.06681628073038867
FDP16,0.8362607919023519,0.0,0.11984479852349646,0.2,0.9129527195430869,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0,0.5620728348464756
FDB11,0.6814528133373027,0.0,0.18525639750581677,0.8666666666666667,0.830015823537002,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.4801591349586862
NCB06,0.7767192616850254,0.0,0.25066618462333495,0.4666666666666667,0.5492482122119675,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.11986126695909417
FDA45,0.9940458469782673,0.0,0.4730651071417474,0.06666666666666667,0.6237181576784901,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.037998571865755386
NCO26,0.15957130098243527,0.0,0.23399273173632057,0.13333333333333333,0.3661281231111926,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.1483219422625727
DRJ25,0.5980946710330455,0.0,0.4610942716971602,0.5333333333333333,0.08098187424023254,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.07671121085382027
FDR28,0.5534385233700505,0.75,0.07917994134235393,0.2,0.552766911829622,0.6666666666666666,1.0,0.0,1.0,1.0,0.1349076813220443
FDI04,0.5415302173265852,0.25,0.2229338154594931,0.2,0.7060854403085929,0.6666666666666666,1.0,0.0,1.0,1.0,0.20952769560338674
DRK12,0.4790116105983923,0.0,0.1269324908432007,0.5333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.06630623278588188
FDX20,0.16731169991068773,0.0,0.12960239086736336,0.0,0.8271787923856868,0.2222222222222222,0.5,0.5,0.0,0.0,0.2402325818626951
NCI18,0.8213754093480202,0.0,0.0428792452586117,0.13333333333333333,0.8161540995185027,0.6666666666666666,1.0,0.0,1.0,1.0,0.2724676119555238
FDB36,0.054182792497767196,0.25,0.0,0.4,0.4298526645342244,0.6666666666666666,1.0,0.0,1.0,1.0,0.01754564929103336
FDN13,0.8362607919023519,0.0,0.4656595589230431,0.9333333333333333,0.2909434019925433,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.14378251555646232
DRD24,0.5534385233700505,0.0,0.09430611345596529,0.5333333333333333,0.465306216001467,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.12781801489339997
FDQ28,0.5623697529026496,0.25,0.1838563954570392,0.2,0.5232446400315113,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.1867795572783842
FDM22,0.5623697529026496,0.25,0.12766140557564942,0.06666666666666667,0.09963565117589931,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.09945934917882282
FDR07,0.4790116105983923,0.0,0.23559550429508183,0.0,0.27894671610673083,0.0,0.0,0.0,1.0,0.6666666666666666,0.1360297867999592
FDV25,0.08038106579339091,0.0,0.1395842707576702,0.3333333333333333,0.811786497701173,0.6666666666666666,1.0,0.0,1.0,1.0,0.2514536366418444
DRF49,0.16165525454004165,0.0,0.21644305189557175,0.5333333333333333,0.3521322725451447,0.2222222222222222,0.5,0.5,0.0,0.0,0.19805161685198408
FDW51,0.09526644834772256,0.25,0.2882535940058859,0.6,0.7778745526285408,0.2222222222222222,0.5,0.5,0.0,0.0,0.2096297051922881
DRL01,0.8898481690979457,0.25,0.2363306250451215,0.5333333333333333,0.8582647420355997,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.4092114658777925
FDP25,0.6338195891634414,0.0,0.06494538637526635,0.3333333333333333,0.7877489830151648,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.21493420381515865
FDL50,0.4522179220005954,0.25,0.1293745892167527,0.3333333333333333,0.3977726504084917,0.6666666666666666,1.0,0.0,1.0,1.0,0.13098031214934205
NCB30,0.4790116105983923,0.0,0.07789047218195551,0.13333333333333333,0.7110336912305008,0.0,0.0,0.0,1.0,0.6666666666666666,0.4230337651739264
FDW11,0.4790116105983923,0.0,0.1491539285668739,0.6666666666666666,0.13000682517368542,0.6666666666666666,1.0,0.0,1.0,1.0,0.044884219116596964
NCM43,0.5921405180113128,0.0,0.05929422878002106,0.8,0.5667737981242658,0.4444444444444444,0.7916666666666666,0.5,0.5,0.0,0.15990003060287666
FDK44,0.7171777314676987,0.0,0.3743064562181537,0.0,0.6018028984916707,0.7777777777777778,0.9166666666666666,0.0,0.5,0.0,0.2903192900132613
FDM15,0.43137838642453114,0.25,0.1747118711688728,0.6,0.50996356511759,0.1111111111111111,0.08333333333333333,1.0,1.0,0.0,0.10165255534020198
