Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDH08,OUT018,0.24364652
FDS12,OUT027,0.26509392
FDR39,OUT027,0.36023802
FDP12,OUT027,0.08822264
DRF60,OUT027,0.4664622
FDC09,OUT035,0.15807344
FDF50,OUT018,0.22629422
FDG28,OUT035,0.32847503
NCE19,OUT017,0.05062773
NCM53,OUT010,0.022598336
NCN18,OUT049,0.15057509
FDF32,OUT035,0.2678362
FDF11,OUT013,0.2931187
DRI59,OUT049,0.29752314
NCG54,OUT035,0.23898633
FDM44,OUT046,0.11856541
FDT57,OUT018,0.26577178
FDV24,OUT046,0.1848082
FDI50,OUT019,0.022598336
FDS09,OUT035,0.0922448
NCC31,OUT027,0.32180962
FDQ07,OUT019,0.022598336
FDC22,OUT017,0.2171965
FDZ56,OUT046,0.20142452
FDZ40,OUT019,0.022598336
FDS46,OUT027,0.24913676
DRD24,OUT045,0.18592243
FDV45,OUT017,0.2217781
FDL26,OUT045,0.19687507
FDA56,OUT018,0.12755437
FDN27,OUT046,0.13414112
FDM20,OUT049,0.29073867
FDO16,OUT017,0.08698654
FDL03,OUT035,0.27798012
FDE58,OUT046,0.13146453
FDI02,OUT027,0.23159362
NCC55,OUT019,0.022598336
FDR03,OUT018,0.24120645
FDB14,OUT017,0.09297939
FDR45,OUT013,0.30241355
NCN07,OUT017,0.14712024
FDM51,OUT019,0.022598336
FDT52,OUT027,0.48350683
FDL26,OUT046,0.1796345
NCZ42,OUT046,0.27265555
DRI47,OUT019,0.022598336
FDW40,OUT013,0.17045395
FDN34,OUT046,0.20649381
FDS01,OUT035,0.2543217
NCG55,OUT045,0.1493753
FDC11,OUT035,0.12106453
FDX35,OUT018,0.24832875
NCB06,OUT046,0.18764052
FDR09,OUT019,0.022598336
FDC53,OUT017,0.10816442
FDY45,OUT013,0.34203205
FDA22,OUT010,0.038486227
FDE02,OUT035,0.14231949
FDW21,OUT045,0.13368282
FDV34,OUT046,0.09103369
FDS59,OUT049,0.14543943
NCW17,OUT017,0.14484194
NCK54,OUT046,0.14021443
FDG17,OUT019,0.022598336
FDG35,OUT017,0.20902649
FDD08,OUT010,0.022598336
NCO07,OUT017,0.2428234
FDJ10,OUT010,0.022598336
FDW36,OUT017,0.116425164
FDW21,OUT010,0.022598336
FDY19,OUT017,0.12629116
DRE03,OUT013,0.045578353
NCC55,OUT049,0.047897633
FDH52,OUT010,0.022598336
FDO09,OUT017,0.3100221
FDU43,OUT045,0.30955556
FDX09,OUT010,0.040211298
FDH40,OUT019,0.022598336
FDW58,OUT017,0.111146845
FDC47,OUT017,0.26605073
NCR41,OUT035,0.1525304
DRG49,OUT035,0.3394452
FDC52,OUT027,0.30836633
FDY13,OUT046,0.08543191
FDY35,OUT013,0.05080217
FDI35,OUT017,0.21842985
NCU18,OUT049,0.17907372
FDY33,OUT018,0.1829162
FDC15,OUT027,0.32408336
FDU01,OUT049,0.23517081
NCU42,OUT046,0.21239978
NCV29,OUT018,0.19806367
NCY30,OUT017,0.21238725
FDQ46,OUT049,0.14326607
FDG58,OUT027,0.31548962
FDK33,OUT017,0.25326318
NCD07,OUT045,0.15390399
NCX29,OUT027,0.2952389
NCT42,OUT013,0.17268069
DRN59,OUT035,0.07905256
FDI44,OUT035,0.114717655
FDA45,OUT049,0.21137674
FDP31,OUT045,0.07149699
FDY01,OUT046,0.13013051
FDT09,OUT018,0.15332156
DRH03,OUT027,0.20678875
FDA36,OUT018,0.19727711
NCF31,OUT017,0.17266059
FDG14,OUT049,0.20390944
FDG28,OUT027,0.48462868
FDU14,OUT049,0.29381174
FDY47,OUT019,0.022598336
FDI56,OUT049,0.1158223
DRD01,OUT013,0.06738916
FDM22,OUT046,0.06453955
FDH33,OUT013,0.035604022
DRZ24,OUT013,0.14575103
NCQ38,OUT046,0.12487445
FDO16,OUT027,0.18799917
FDU07,OUT027,0.3146193
NCB07,OUT013,0.23254137
FDU48,OUT045,0.1671881
NCM43,OUT045,0.21943271
FDR31,OUT010,0.022598336
DRK49,OUT018,0.044140775
NCI30,OUT010,0.138116
DRD60,OUT017,0.21503817
NCG19,OUT046,0.27521136
FDH12,OUT035,0.16758646
FDM32,OUT035,0.13460603
FDM27,OUT035,0.22051562
NCU53,OUT027,0.33548635
NCQ18,OUT046,0.103184566
FDS10,OUT013,0.2162511
FDB33,OUT027,0.33006066
FDI12,OUT013,0.10403997
NCW42,OUT013,0.27100655
NCC06,OUT018,0.15219557
FDW02,OUT017,0.13924251
NCD43,OUT017,0.11624403
FDM57,OUT018,0.09273964
FDA58,OUT017,0.26739427
FDK56,OUT046,0.22103687
FDP52,OUT045,0.3040559
FDW20,OUT018,0.1544579
FDS52,OUT049,0.13657477
NCT29,OUT018,0.13536029
NCL54,OUT013,0.21499643
FDC05,OUT045,0.25876656
FDF34,OUT035,0.27192545
FDP03,OUT027,0.24873404
FDD32,OUT010,0.022598336
FDZ10,OUT045,0.16602655
FDZ40,OUT035,0.09564379
FDD51,OUT018,0.041323114
NCY30,OUT019,0.022598336
FDP58,OUT017,0.25756443
FDV49,OUT017,0.30007845
FDY24,OUT019,0.022598336
NCO55,OUT017,0.11731312
FDR13,OUT017,0.13800482
FDS51,OUT017,0.06271706
FDP26,OUT045,0.13342981
NCB54,OUT027,0.266848
FDF32,OUT017,0.23008688
FDN31,OUT018,0.20711364
DRM48,OUT017,0.022598336
FDN20,OUT049,0.20674333
DRL01,OUT046,0.27589625
FDV56,OUT049,0.14186697
DRH13,OUT027,0.2250962
FDA03,OUT017,0.16895954
FDF47,OUT027,0.43544358
FDX32,OUT046,0.17312211
FDX57,OUT049,0.12380956
NCA30,OUT045,0.2447499
FDO49,OUT013,0.06381846
FDL04,OUT019,0.022598336
DRM48,OUT035,0.062145963
FDR16,OUT013,0.25157782
NCC19,OUT018,0.20444894
NCE42,OUT045,0.30297452
FDY24,OUT017,0.055844493
FDH19,OUT049,0.2234756
FDJ46,OUT013,0.20954168
FDN45,OUT010,0.115459785
FDY08,OUT035,0.19865188
FDZ37,OUT035,0.14612837
NCT30,OUT045,0.0721806
DRY23,OUT018,0.04754405
NCZ30,OUT018,0.12322832
FDC44,OUT018,0.12163779
FDB45,OUT035,0.1510822
FDY04,OUT013,0.20162968
FDM27,OUT046,0.21360533
FDZ43,OUT017,0.27731746
FDT39,OUT019,0.022598336
NCC06,OUT019,0.022598336
FDL15,OUT027,0.30955556
FDL57,OUT017,0.30344793
FDU08,OUT046,0.11750791
FDK40,OUT017,0.29341063
FDQ12,OUT010,0.10925378
FDS48,OUT017,0.17681903
FDP09,OUT045,0.27124813
FDW21,OUT049,0.14241824
FDY25,OUT035,0.25938508
DRE13,OUT017,0.09480904
FDV43,OUT019,0.022598336
FDD22,OUT045,0.14346147
FDM46,OUT019,0.022598336
NCO30,OUT010,0.06811976
FDM25,OUT046,0.22049987
NCN41,OUT049,0.15476663
FDU24,OUT045,0.12482903
FDZ50,OUT046,0.22700435
FDP45,OUT013,0.3286478
NCM54,OUT045,0.159836
FDW10,OUT019,0.022598336
FDP20,OUT017,0.13863088
FDK32,OUT046,0.18286249
FDN52,OUT049,0.11234509
FDM58,OUT045,0.1503725
FDZ46,OUT027,0.24109316
NCA18,OUT018,0.12473951
FDD35,OUT046,0.14962696
NCK31,OUT035,0.091425195
FDI40,OUT027,0.21259639
FDT50,OUT019,0.022598336
NCT06,OUT046,0.19662601
FDT31,OUT035,0.23853543
FDT45,OUT049,0.06275805
FDT13,OUT045,0.24570265
FDO50,OUT045,0.11357002
NCU18,OUT010,0.022598336
NCR54,OUT049,0.24451946
NCO18,OUT018,0.19792223
FDU09,OUT045,0.08134075
FDT13,OUT018,0.21297987
FDE09,OUT046,0.13713181
NCK53,OUT019,0.022598336
FDG45,OUT049,0.25449932
DRH15,OUT035,0.07757423
FDO21,OUT019,0.022598336
FDD14,OUT027,0.36036813
FDC09,OUT046,0.12272879
FDH45,OUT027,0.10965816
FDV32,OUT046,0.07017824
FDG12,OUT035,0.19143991
FDS32,OUT013,0.17194551
NCL55,OUT018,0.28532848
DRE01,OUT035,0.33073887
DRE15,OUT049,0.100911595
NCL42,OUT045,0.31729206
FDP31,OUT013,0.056883886
FDN33,OUT018,0.096496984
FDZ59,OUT046,0.20640959
FDE45,OUT010,0.04763732
FDJ07,OUT013,0.14561544
FDQ45,OUT018,0.20165458
FDM33,OUT027,0.4442721
FDO15,OUT010,0.022598336
FDM46,OUT013,0.10272666
FDR03,OUT045,0.27426666
FDY49,OUT018,0.19707307
FDQ60,OUT045,0.16072099
FDW10,OUT049,0.20618229
FDO51,OUT049,0.06884906
FDJ40,OUT018,0.12574485
FDS20,OUT018,0.19440374
FDU45,OUT013,0.13756144
FDV02,OUT035,0.23680659
FDN09,OUT046,0.27463675
NCM55,OUT027,0.3672363
FDN23,OUT018,0.15901662
FDY31,OUT010,0.022598336
FDW03,OUT010,0.022598336
FDD14,OUT046,0.20581529
FDV23,OUT017,0.14119196
DRI03,OUT045,0.21728581
FDN13,OUT035,0.13771161
FDF45,OUT027,0.140793
FDU46,OUT035,0.14483953
FDB57,OUT049,0.26024997
FDV12,OUT049,0.13431011
FDQ58,OUT013,0.1774307
NCA18,OUT017,0.13190445
FDH52,OUT049,0.09047596
FDM24,OUT018,0.16199198
NCP43,OUT027,0.3569381
NCO18,OUT019,0.022598336
FDM32,OUT017,0.10221388
NCL07,OUT017,0.03176575
FDK03,OUT013,0.32729068
FDP59,OUT017,0.11080579
FDQ24,OUT049,0.29265124
FDQ16,OUT018,0.12618431
FDU44,OUT013,0.20060292
FDH28,OUT010,0.022598336
FDV28,OUT019,0.022598336
FDM22,OUT045,0.07452401
FDR56,OUT046,0.23731315
FDV39,OUT049,0.25928822
FDU37,OUT019,0.022598336
FDQ11,OUT010,0.13334766
FDX02,OUT045,0.2883648
NCS42,OUT018,0.09490782
FDY57,OUT027,0.20454918
FDB21,OUT049,0.30787763
FDE28,OUT017,0.26549858
FDQ55,OUT017,0.13345414
FDA48,OUT049,0.28320453
FDZ19,OUT045,0.2154638
NCC43,OUT045,0.30601984
NCV18,OUT046,0.09211295
NCA42,OUT018,0.16587703
FDY45,OUT046,0.28053564
NCC30,OUT045,0.23177831
FDM57,OUT013,0.10220657
FDL09,OUT010,0.055215843
FDB09,OUT027,0.26880392
FDT44,OUT035,0.16588168
NCT06,OUT027,0.33994222
FDX26,OUT049,0.22868551
FDK32,OUT013,0.19799963
DRA12,OUT046,0.1748062
FDO46,OUT010,0.057763025
FDE52,OUT013,0.110254996
NCH42,OUT045,0.2789577
FDV08,OUT035,0.081681594
FDB47,OUT018,0.22726871
FDC28,OUT010,0.022598336
FDD22,OUT046,0.13078885
FDS07,OUT027,0.25081137
DRI13,OUT045,0.28199703
FDG32,OUT018,0.26017126
FDU14,OUT017,0.29708165
FDD28,OUT019,0.022598336
NCP41,OUT017,0.12257367
FDS08,OUT049,0.23113908
FDX47,OUT045,0.20573498
FDC53,OUT019,0.022598336
FDQ19,OUT035,0.31176102
FDL14,OUT045,0.20223825
FDM33,OUT019,0.022598336
FDA51,OUT045,0.14671746
FDZ27,OUT018,0.04450229
FDT04,OUT046,0.038904365
DRC13,OUT049,0.17258182
FDR16,OUT027,0.42677855
FDQ03,OUT027,0.45834702
FDE38,OUT035,0.24624397
DRH23,OUT027,0.12540512
FDT11,OUT019,0.022598336
FDD09,OUT035,0.24183029
FDR40,OUT045,0.12002987
FDX07,OUT017,0.2187423
FDR07,OUT035,0.13528845
FDA51,OUT017,0.12661256
FDT59,OUT019,0.022598336
FDF20,OUT017,0.22415572
FDR13,OUT045,0.1602129
FDY26,OUT049,0.2616813
FDW04,OUT017,0.1506271
FDK52,OUT017,0.26683286
FDN60,OUT049,0.19689968
FDM09,OUT019,0.022598336
FDP46,OUT049,0.106932946
FDB50,OUT019,0.022598336
NCQ29,OUT049,0.33180633
FDP16,OUT027,0.4905609
FDX33,OUT018,0.17726022
FDP07,OUT010,0.08367509
FDN22,OUT046,0.30263636
FDF39,OUT049,0.3075098
FDS21,OUT017,0.05853536
NCM42,OUT013,0.13482112
FDK50,OUT019,0.022598336
DRF13,OUT027,0.2986319
FDH35,OUT018,0.19825763
FDP60,OUT018,0.11474098
DRJ49,OUT027,0.267193
NCT42,OUT019,0.022598336
FDE38,OUT049,0.2233616
FDI04,OUT049,0.25849563
NCH54,OUT045,0.20312412
FDT56,OUT049,0.06920372
DRD15,OUT018,0.25629798
FDV58,OUT013,0.237212
FDP21,OUT049,0.24976121
FDH05,OUT013,0.2905016
FDR10,OUT027,0.33634448
NCP06,OUT045,0.18842578
FDF33,OUT049,0.14711972
DRK37,OUT013,0.2193829
DRH49,OUT045,0.10981453
FDT58,OUT013,0.20018919
FDD41,OUT018,0.109887466
FDP40,OUT018,0.111740425
FDM51,OUT027,0.20609282
FDO45,OUT010,0.022598336
FDW33,OUT010,0.022598336
FDY24,OUT045,0.083459914
FDB10,OUT010,0.11222205
FDM40,OUT035,0.19720054
NCI06,OUT017,0.20712458
FDW12,OUT019,0.022598336
FDX48,OUT027,0.31024274
NCW05,OUT027,0.22514825
FDX27,OUT017,0.094481856
DRM37,OUT045,0.25339055
FDA38,OUT045,0.29817647
FDR36,OUT046,0.041949563
FDZ45,OUT046,0.24088494
FDG05,OUT017,0.18687849
FDK28,OUT013,0.3445307
FDV47,OUT045,0.109616235
FDN21,OUT045,0.20101263
FDP20,OUT027,0.24865882
FDI35,OUT045,0.23979571
DRY23,OUT013,0.057926565
FDA56,OUT017,0.13615827
FDB09,OUT013,0.14376335
NCO26,OUT027,0.25185075
FDQ49,OUT018,0.19504373
FDI52,OUT027,0.25981787
FDZ44,OUT027,0.25510293
FDZ09,OUT018,0.19102259
FDY03,OUT049,0.14457932
NCG42,OUT017,0.15254077
DRI13,OUT027,0.43200222
FDQ32,OUT013,0.1512721
FDW16,OUT035,0.14036517
FDU27,OUT046,0.03578997
FDR28,OUT010,0.03853974
FDQ49,OUT010,0.051568598
FDS37,OUT046,0.14370935
FDW26,OUT018,0.25001022
FDX12,OUT018,0.28362998
NCP06,OUT013,0.17769027
FDW45,OUT010,0.022598336
NCN30,OUT049,0.12043984
FDN24,OUT049,0.060458094
NCL41,OUT027,0.08605197
FDR02,OUT019,0.022598336
FDD09,OUT010,0.052263968
FDS33,OUT010,0.022598336
FDU22,OUT045,0.15207054
FDI53,OUT013,0.20005067
DRH01,OUT049,0.21916339
FDX32,OUT013,0.17142548
NCP30,OUT018,0.03499742
FDB60,OUT045,0.24695696
FDB14,OUT049,0.11271441
NCP02,OUT035,0.10179216
FDJ10,OUT017,0.1561337
FDG34,OUT046,0.13948889
NCB18,OUT017,0.087627724
FDM16,OUT049,0.10531487
FDW25,OUT018,0.08072748
FDB35,OUT010,0.022598336
DRN11,OUT013,0.17086805
FDF41,OUT019,0.022598336
FDH16,OUT045,0.11730801
NCQ50,OUT018,0.24616313
DRH23,OUT018,0.05253802
DRJ37,OUT013,0.18822579
DRJ24,OUT027,0.36945978
FDY16,OUT035,0.25508842
FDQ27,OUT045,0.14420663
FDZ33,OUT045,0.1905789
FDF29,OUT045,0.17712131
FDA08,OUT049,0.21530147
FDG31,OUT046,0.077125795
FDE34,OUT019,0.022598336
NCR30,OUT027,0.1701322
FDV33,OUT035,0.3301894
DRZ24,OUT018,0.12641722
NCL54,OUT035,0.24343592
FDR12,OUT049,0.23068695
NCC54,OUT046,0.29231465
DRN59,OUT013,0.052684933
FDX50,OUT019,0.022598336
FDV31,OUT027,0.3692963
NCA29,OUT027,0.35595354
FDW60,OUT049,0.2440656
FDX08,OUT017,0.20972115
DRD49,OUT013,0.29578713
FDD33,OUT046,0.280172
FDW35,OUT013,0.050779015
FDJ36,OUT017,0.10974693
FDV51,OUT035,0.2372911
FDW36,OUT046,0.12563704
FDH35,OUT046,0.19711576
NCS30,OUT027,0.27735674
FDN49,OUT017,0.02528909
FDL08,OUT018,0.26929402
FDI09,OUT013,0.2939519
FDP19,OUT018,0.1422385
FDU21,OUT010,0.022598336
NCP41,OUT045,0.14145388
FDY10,OUT013,0.12974249
FDP12,OUT018,0.03961591
NCN26,OUT049,0.15265216
FDK44,OUT013,0.2137547
FDC28,OUT049,0.14415653
FDJ41,OUT027,0.52412146
NCT29,OUT035,0.18145475
NCH42,OUT019,0.022598336
FDU60,OUT018,0.20429717
FDS02,OUT045,0.25061238
FDC51,OUT046,0.1563321
FDU03,OUT013,0.2229486
FDX39,OUT045,0.27956948
NCY05,OUT010,0.022598336
NCL06,OUT027,0.5193109
FDD32,OUT035,0.12888251
NCN41,OUT045,0.15733358
NCX53,OUT049,0.17967328
FDU57,OUT019,0.022598336
FDQ23,OUT046,0.13105312
FDQ52,OUT045,0.31442428
FDC14,OUT045,0.0573316
FDY09,OUT035,0.23985955
FDQ28,OUT045,0.20706697
FDV25,OUT046,0.29048872
FDJ07,OUT035,0.18228947
DRB25,OUT049,0.1360042
FDK52,OUT019,0.022598336
FDY52,OUT027,0.1488711
FDB28,OUT046,0.24506533
FDT36,OUT035,0.06295631
FDV25,OUT017,0.24614182
NCN07,OUT027,0.2617785
FDC57,OUT017,0.22760329
FDQ03,OUT018,0.2762513
FDU23,OUT017,0.197621
NCX41,OUT035,0.28019077
NCD06,OUT035,0.07616984
FDW08,OUT045,0.1396385
NCU29,OUT017,0.17129238
NCE06,OUT013,0.18822993
FDV52,OUT010,0.022598336
FDB02,OUT017,0.20506053
NCR18,OUT045,0.05597391
FDK16,OUT049,0.1291191
NCQ29,OUT010,0.14453733
FDZ01,OUT019,0.022598336
FDW27,OUT035,0.22865647
FDD17,OUT018,0.25606337
FDW39,OUT013,0.2144622
DRH59,OUT045,0.0983971
FDS52,OUT013,0.12563953
FDU40,OUT027,0.3965459
NCF54,OUT013,0.20935278
FDH46,OUT045,0.13940956
NCP14,OUT049,0.13108037
FDH50,OUT049,0.24098115
DRF15,OUT010,0.03274778
FDV27,OUT027,0.17940645
NCJ06,OUT049,0.14859626
FDN02,OUT018,0.23714478
FDQ51,OUT049,0.064163886
FDQ07,OUT017,0.26418096
FDS45,OUT049,0.15798156
NCJ06,OUT045,0.15259801
FDD36,OUT035,0.17634664
FDY25,OUT045,0.23609085
FDU52,OUT046,0.19081308
DRK47,OUT017,0.26713663
NCL30,OUT017,0.1412307
FDN22,OUT035,0.3388956
NCF30,OUT027,0.26842737
FDK03,OUT035,0.34410143
FDT45,OUT017,0.046691034
NCC54,OUT027,0.47377923
FDP08,OUT018,0.23421322
FDU44,OUT046,0.20176105
DRG39,OUT035,0.08901616
FDU32,OUT049,0.1619714
FDY27,OUT049,0.23525012
NCP54,OUT013,0.14712197
NCZ41,OUT049,0.15556994
DRL49,OUT013,0.17545031
FDI05,OUT018,0.082111605
FDY56,OUT045,0.29422438
DRC13,OUT013,0.15837626
NCV29,OUT017,0.20913942
FDR24,OUT049,0.113793105
FDZ34,OUT018,0.2096949
FDP37,OUT035,0.17684048
FDX08,OUT027,0.37412843
FDS57,OUT045,0.17655966
NCG18,OUT049,0.13115871
FDK25,OUT018,0.19917431
FDH53,OUT049,0.10367195
DRI59,OUT018,0.2479878
FDA52,OUT046,0.2102719
FDT20,OUT010,0.022598336
FDE36,OUT019,0.022598336
FDI24,OUT017,0.20959502
FDB28,OUT018,0.21308312
FDV11,OUT017,0.20864132
FDP01,OUT046,0.18509538
FDD34,OUT027,0.33664483
FDJ50,OUT027,0.12517592
FDZ44,OUT013,0.15008232
DRO59,OUT035,0.122032106
DRB48,OUT045,0.06598994
FDR21,OUT018,0.20608602
NCE42,OUT010,0.12664703
FDO23,OUT046,0.09483482
NCE30,OUT018,0.24272497
FDQ22,OUT035,0.07685733
FDY01,OUT045,0.14565755
FDS08,OUT017,0.19316481
FDG28,OUT018,0.27331266
FDQ51,OUT018,0.058447734
FDB05,OUT017,0.28297907
FDO56,OUT049,0.15665439
FDE02,OUT018,0.09477436
FDN45,OUT017,0.25668165
FDS09,OUT013,0.06656352
NCA54,OUT018,0.20745003
FDP09,OUT010,0.09983147
FDC53,OUT045,0.13475512
NCM55,OUT017,0.22048275
FDL09,OUT018,0.19985151
FDA11,OUT019,0.022598336
FDA50,OUT045,0.11707552
FDC23,OUT017,0.21321303
FDE22,OUT049,0.20920503
FDD23,OUT046,0.23961008
NCA29,OUT049,0.22690488
FDK38,OUT046,0.18294667
DRC13,OUT046,0.15594566
NCP43,OUT049,0.23088849
FDX28,OUT049,0.12667516
FDF08,OUT049,0.116003096
FDZ33,OUT046,0.17647378
FDD10,OUT049,0.23746623
FDO58,OUT017,0.18477163
FDI50,OUT017,0.26301888
FDO58,OUT045,0.210439
FDX08,OUT013,0.21998492
NCK17,OUT010,0.022598336
FDF39,OUT035,0.33203283
FDU45,OUT010,0.022598336
NCJ18,OUT018,0.13142993
DRC27,OUT019,0.022598336
DRC25,OUT035,0.14007357
FDU59,OUT035,0.23409396
FDU28,OUT035,0.25352484
NCP30,OUT046,0.032554947
FDB39,OUT018,0.058509737
FDE41,OUT013,0.107617564
DRH11,OUT010,0.022598336
FDA58,OUT045,0.2907198
FDU50,OUT046,0.14487766
FDM34,OUT013,0.14887539
FDM44,OUT027,0.21375105
FDR39,OUT045,0.23126425
FDM25,OUT045,0.23627518
FDQ49,OUT049,0.20350283
DRH25,OUT018,0.056469426
FDM09,OUT027,0.3477139
FDL44,OUT019,0.022598336
NCR42,OUT018,0.027447404
DRL59,OUT046,0.055027775
FDX43,OUT013,0.19492413
DRK47,OUT010,0.10261719
FDU48,OUT018,0.15537618
FDY12,OUT045,0.065701894
NCN43,OUT018,0.13957925
NCM55,OUT018,0.2158691
FDQ21,OUT027,0.26438567
FDX13,OUT035,0.33270004
NCK30,OUT027,0.49464163
FDG20,OUT049,0.22056447
DRG27,OUT017,0.029906403
FDY14,OUT018,0.291973
FDP59,OUT035,0.15288559
FDU60,OUT017,0.20308086
NCC18,OUT019,0.022598336
DRJ39,OUT017,0.25789762
FDS07,OUT049,0.15011872
FDM08,OUT027,0.4458799
FDP51,OUT045,0.1594855
FDU16,OUT035,0.1252301
FDH12,OUT013,0.12739357
DRE48,OUT010,0.06534327
